Equipes,Matchs_jouer,Matchs_gagner,Matchs_perdus,Match_null,Nombre_Buts,Scores,Classements
Manchester City,38,4,2,32,95,98,98
Liverpool,38,1,7,30,89,97,97
Chelsea,38,8,9,21,63,72,72
Tottenham Hotspur,38,13,2,23,67,71,71
Arsenal,38,10,7,21,73,70,70
Manchester United,38,10,9,19,65,66,66
Wolverhampton Wanderers,38,13,9,16,47,57,57
Everton,38,14,9,15,54,54,54
West Ham United,38,16,7,15,52,52,52
Leicester City,38,16,7,15,51,52,52
Watford,38,16,8,14,52,50,50
Crystal Palace,38,17,7,14,51,49,49
Newcastle United,38,17,9,12,42,45,45
AFC Bournemouth,38,19,6,13,56,45,45
Burnley,38,20,7,11,45,40,40
Southampton,38,17,12,9,45,39,39
Brighton & Hove Albion,38,20,9,9,35,36,36
Cardiff City,38,24,4,10,34,34,34
Fulham,38,26,5,7,34,26,26
Huddersfield Town,38,28,7,3,22,16,16
